comuna,latitud,longitud,region,cantidad_toneladas
Nogales,-32.72256606,-71.21348643,Valparaíso,4856.113
Olmué,-32.99813496,-71.18927866,Valparaíso,227.37213
El Quisco,-33.39663603,-71.69468943,Valparaíso,172.107
La Ligua,-32.45014325,-71.23561077,Valparaíso,11981.7859
Panquehue,-32.74007148,-70.76392596,Valparaíso,1902.41
Limache,-32.989622,-71.26558589,Valparaíso,3540.82731
San Felipe,-32.79962448,-70.69996117,Valparaíso,10887.66979
San Antonio,-33.5816834,-71.6136029,Valparaíso,8761.771378
San Esteban,-32.7967678,-70.5562522,Valparaíso,1344.8517
La Cruz,-32.84544368,-71.18045515,Valparaíso,243.279
Rinconada,-32.92614836,-70.68082881,Valparaíso,397.98699999999997
Quintero,-32.91396244,-71.49705375,Valparaíso,5080.043816
Los Andes,-32.83616157,-70.60424077,Valparaíso,20888.567345
Hijuelas,-32.79799772,-71.14372019,Valparaíso,1884.464
Llaillay,-32.85028848,-70.95175746,Valparaíso,1220.22243
San Carlos,-36.43590142,-71.94768783,Ñuble,5401.219
Ninhue,-36.39913789,-72.39123945,Ñuble,8.674
Ñiquén,-36.22979133,-72.01346712,Ñuble,11789.59
Yungay,-37.12201892,-72.01315931,Ñuble,2713.967
Bulnes,-36.7432971,-72.2981833,Ñuble,1084.483
San Ignacio,-36.88709545,-72.11712571,Ñuble,23.335
Chillan Viejo,-36.62910032,-72.13979955,Ñuble,3911.839421
Chillán,-36.60197261,-72.09320754,Ñuble,39396.637
Cobquecura,-36.12486919,-72.80045197,Ñuble,8.904
Coelemu,-36.47139182,-72.70472309,Ñuble,225.152
Coihueco,-36.61637375,-71.84335266,Ñuble,58.186
Quirihue,-36.21726042,-72.52976253,Ñuble,16.426000000000002
Quillón,-36.73385684,-72.47178783,Ñuble,227.90800000000002
Pemuco,-36.91337606,-72.34325999,Ñuble,7557.3369999999995
El Carmen,-36.89686969,-72.04051943,Ñuble,52.637
Pinto,-36.90304031,-71.40869702,Ñuble,27.095
Ránquil,-36.66382881,-72.48360144,Ñuble,154379.763
