Código región;Región;Código provincia;Provincia;Código comuna;COMUNA;Población censada;Hombres;Mujeres;Razón hombre-mujer;% personas de 65 años o más
11;Aysén del General Carlos Ibáñez del Campo;114;General Carrera;11401;Chile Chico;4.905;2.478;2.427;102,1;16,3%
11;Aysén del General Carlos Ibáñez del Campo;114;General Carrera;11402;Río Ibáñez;2.723;1.410;1.313;107,4;18,7%
12;Magallanes y de la Antártica Chilena;121;Magallanes;12101;Punta Arenas;132.363;65.028;67.335;96,6;14,9%
12;Magallanes y de la Antártica Chilena;121;Magallanes;12102;Laguna Blanca;269;187;82;228,0;11,2%
12;Magallanes y de la Antártica Chilena;121;Magallanes;12103;Río Verde;102;72;30;240,0;16,7%
12;Magallanes y de la Antártica Chilena;121;Magallanes;12104;San Gregorio;241;151;90;167,8;15,4%
12;Magallanes y de la Antártica Chilena;122;Antártica Chilena;12201;Cabo de Hornos;1.750;881;869;101,4;5,5%
12;Magallanes y de la Antártica Chilena;122;Antártica Chilena;12202;Antártica;60;56;4;1400,0;0,0%
12;Magallanes y de la Antártica Chilena;123;Tierra del Fuego;12301;Porvenir;6.809;3.592;3.217;111,7;11,6%
12;Magallanes y de la Antártica Chilena;123;Tierra del Fuego;12302;Primavera;431;237;194;122,2;13,2%
12;Magallanes y de la Antártica Chilena;123;Tierra del Fuego;12303;Timaukel;157;95;62;153,2;7,0%
12;Magallanes y de la Antártica Chilena;124;Última Esperanza;12401;Natales;24.152;12.064;12.088;99,8;14,4%
12;Magallanes y de la Antártica Chilena;124;Última Esperanza;12402;Torres del Paine;203;118;85;138,8;12,3%
13;Metropolitana de Santiago;131;Santiago;13101;Santiago;438.856;223.237;215.619;103,5;8,1%
13;Metropolitana de Santiago;131;Santiago;13102;Cerrillos;85.041;41.216;43.825;94,0;13,0%
13;Metropolitana de Santiago;131;Santiago;13103;Cerro Navia;127.250;62.329;64.921;96,0;14,7%
13;Metropolitana de Santiago;131;Santiago;13104;Conchalí;121.587;59.122;62.465;94,6;15,8%
13;Metropolitana de Santiago;131;Santiago;13105;El Bosque;155.257;75.720;79.537;95,2;15,5%
13;Metropolitana de Santiago;131;Santiago;13106;Estación Central;181.049;88.630;92.419;95,9;10,7%
13;Metropolitana de Santiago;131;Santiago;13107;Huechuraba;101.808;49.479;52.329;94,6;11,3%
13;Metropolitana de Santiago;131;Santiago;13108;Independencia;116.943;56.916;60.027;94,8;11,0%
13;Metropolitana de Santiago;131;Santiago;13109;La Cisterna;103.157;49.154;54.003;91,0;14,3%
13;Metropolitana de Santiago;131;Santiago;13110;La Florida;374.836;178.461;196.375;90,9;16,2%
13;Metropolitana de Santiago;131;Santiago;13111;La Granja;112.022;54.758;57.264;95,6;16,3%
13;Metropolitana de Santiago;131;Santiago;13112;La Pintana;175.421;85.240;90.181;94,5;12,7%
13;Metropolitana de Santiago;131;Santiago;13113;La Reina;89.870;42.260;47.610;88,8;17,9%
13;Metropolitana de Santiago;131;Santiago;13114;Las Condes;296.134;137.984;158.150;87,2;18,1%
13;Metropolitana de Santiago;131;Santiago;13115;Lo Barnechea;112.620;53.609;59.011;90,8;11,4%
13;Metropolitana de Santiago;131;Santiago;13116;Lo Espejo;87.295;43.095;44.200;97,5;15,6%
13;Metropolitana de Santiago;131;Santiago;13117;Lo Prado;91.290;44.300;46.990;94,3;16,5%
13;Metropolitana de Santiago;131;Santiago;13118;Macul;123.800;58.479;65.321;89,5;16,1%
13;Metropolitana de Santiago;131;Santiago;13119;Maipú;503.635;240.903;262.732;91,7;14,1%
13;Metropolitana de Santiago;131;Santiago;13120;Ñuñoa;241.467;111.613;129.854;86,0;14,8%
13;Metropolitana de Santiago;131;Santiago;13121;Pedro Aguirre Cerda;96.062;47.073;48.989;96,1;18,3%
13;Metropolitana de Santiago;131;Santiago;13122;Peñalolén;236.478;114.260;122.218;93,5;13,3%
13;Metropolitana de Santiago;131;Santiago;13123;Providencia;143.974;67.329;76.645;87,8;16,0%
13;Metropolitana de Santiago;131;Santiago;13124;Pudahuel;227.820;109.673;118.147;92,8;12,2%
13;Metropolitana de Santiago;131;Santiago;13125;Quilicura;205.624;99.649;105.975;94,0;8,7%
13;Metropolitana de Santiago;131;Santiago;13126;Quinta Normal;129.351;63.130;66.221;95,3;13,3%
13;Metropolitana de Santiago;131;Santiago;13127;Recoleta;154.615;76.020;78.595;96,7;14,6%
13;Metropolitana de Santiago;131;Santiago;13128;Renca;143.622;69.985;73.637;95,0;12,8%
13;Metropolitana de Santiago;131;Santiago;13129;San Joaquín;95.602;45.983;49.619;92,7;16,5%
13;Metropolitana de Santiago;131;Santiago;13130;San Miguel;150.829;71.229;79.600;89,5;11,5%
13;Metropolitana de Santiago;131;Santiago;13131;San Ramón;76.002;37.417;38.585;97,0;16,8%
13;Metropolitana de Santiago;131;Santiago;13132;Vitacura;86.420;39.914;46.506;85,8;19,2%
13;Metropolitana de Santiago;132;Cordillera;13201;Puente Alto;568.086;273.928;294.158;93,1;11,7%
13;Metropolitana de Santiago;132;Cordillera;13202;Pirque;29.060;14.399;14.661;98,2;13,7%
13;Metropolitana de Santiago;132;Cordillera;13203;San José de Maipo;17.441;8.674;8.767;98,9;15,8%
13;Metropolitana de Santiago;133;Chacabuco;13301;Colina;173.293;86.925;86.368;100,6;7,6%
13;Metropolitana de Santiago;133;Chacabuco;13302;Lampa;145.160;72.328;72.832;99,3;6,7%
13;Metropolitana de Santiago;133;Chacabuco;13303;Tiltil;19.742;9.940;9.802;101,4;13,7%
13;Metropolitana de Santiago;134;Maipo;13401;San Bernardo;306.371;148.696;157.675;94,3;11,3%
13;Metropolitana de Santiago;134;Maipo;13402;Buin;116.969;56.564;60.405;93,6;10,4%
13;Metropolitana de Santiago;134;Maipo;13403;Calera de Tango;25.491;12.607;12.884;97,9;13,5%
13;Metropolitana de Santiago;134;Maipo;13404;Paine;78.828;38.873;39.955;97,3;12,8%
13;Metropolitana de Santiago;135;Melipilla;13501;Melipilla;136.325;66.759;69.566;96,0;14,2%
13;Metropolitana de Santiago;135;Melipilla;13502;Alhué;7.768;3.863;3.905;98,9;13,0%
13;Metropolitana de Santiago;135;Melipilla;13503;Curacaví;35.165;17.226;17.939;96,0;15,1%
13;Metropolitana de Santiago;135;Melipilla;13504;María Pinto;15.352;7.559;7.793;97,0;15,4%
13;Metropolitana de Santiago;135;Melipilla;13505;San Pedro;11.108;5.696;5.412;105,2;17,0%
13;Metropolitana de Santiago;136;Talagante;13601;Talagante;76.429;37.488;38.941;96,3;12,9%
13;Metropolitana de Santiago;136;Talagante;13602;El Monte;37.497;18.347;19.150;95,8;13,4%
13;Metropolitana de Santiago;136;Talagante;13603;Isla de Maipo;39.274;19.401;19.873;97,6;13,1%
13;Metropolitana de Santiago;136;Talagante;13604;Padre Hurtado;81.243;39.781;41.462;95,9;9,6%
13;Metropolitana de Santiago;136;Talagante;13605;Peñaflor;94.402;45.612;48.790;93,5;12,8%
14;Los Ríos;141;Valdivia;14101;Valdivia;170.043;81.660;88.383;92,4;14,2%
14;Los Ríos;141;Valdivia;14102;Corral;5.501;2.746;2.755;99,7;19,1%
14;Los Ríos;141;Valdivia;14103;Lanco;16.876;8.133;8.743;93,0;16,1%
14;Los Ríos;141;Valdivia;14104;Los Lagos;21.431;10.596;10.835;97,8;15,7%
14;Los Ríos;141;Valdivia;14105;Máfil;8.074;3.947;4.127;95,6;16,3%
14;Los Ríos;141;Valdivia;14106;Mariquina;22.973;11.180;11.793;94,8;14,3%
14;Los Ríos;141;Valdivia;14107;Paillaco;19.802;9.535;10.267;92,9;17,4%
14;Los Ríos;141;Valdivia;14108;Panguipulli;35.098;17.044;18.054;94,4;15,6%
14;Los Ríos;142;Ranco;14201;La Unión;38.907;18.865;20.042;94,1;16,7%
14;Los Ríos;142;Ranco;14202;Futrono;15.635;7.615;8.020;95,0;14,6%
14;Los Ríos;142;Ranco;14203;Lago Ranco;10.527;5.181;5.346;96,9;17,3%
14;Los Ríos;142;Ranco;14204;Río Bueno;33.363;16.232;17.131;94,8;17,5%
15;Arica y Parinacota;151;Arica;15101;Arica;241.653;118.844;122.809;96,8;12,7%
15;Arica y Parinacota;151;Arica;15102;Camarones;861;430;431;99,8;26,5%
15;Arica y Parinacota;152;Parinacota;15201;Putre;1.547;846;701;120,7;16,5%
15;Arica y Parinacota;152;Parinacota;15202;General Lagos;508;261;247;105,7;22,8%
16;Ñuble;161;Diguillín;16101;Chillán;190.382;89.482;100.900;88,7;15,1%
16;Ñuble;161;Diguillín;16102;Bulnes;23.863;11.472;12.391;92,6;17,2%
16;Ñuble;161;Diguillín;16103;Chillán Viejo;32.688;15.486;17.202;90,0;12,6%
16;Ñuble;161;Diguillín;16104;El Carmen;13.186;6.548;6.638;98,6;17,4%
16;Ñuble;161;Diguillín;16105;Pemuco;8.930;4.416;4.514;97,8;16,8%
